rank,cand_id,score,demand_total_pop,demand_underserved_pop,park_dist_m,area_m2,flood_risk_0_1,flood_norm,centroid_x,centroid_y
1,176,0.7010360231550471,3849.7242077416854,2699.974667807928,1144.614174232953,2550.0167470569,0.0,1.0,265955.0934207387,193949.1992726148
2,247,0.6382442241954749,952.8606388715128,952.8606388715128,1596.9643339454487,2141.410519170447,0.01956603390119852,0.9804339660988015,261265.83720396017,193111.39725242462
3,339,0.6136008452870848,2650.0449170327406,1720.260196314147,1056.4986216564641,2820.4257331285658,0.022992143335778176,0.9770078566642219,266008.8283335661,197601.243353769
4,302,0.605543578594781,573.7973551252383,573.7973551252383,1561.0465531544687,4522.734371725342,0.016922188237901706,0.9830778117620983,267015.3778349334,196165.51457523712
5,439,0.6045255193067662,2637.5583831891495,1658.3948878495528,1083.1317957408673,3998.866674060291,0.2066569812289659,0.7933430187710341,267245.3753951464,198542.89006699334
6,383,0.6264813081083269,734.7576325942387,734.7576325942387,1753.4931546400312,1331.060342659051,0.02980584170954824,0.9701941582904517,259998.4624178237,198514.44024674417
7,250,0.6193611146411326,1022.9413586604948,901.8602712261787,1395.6499089764825,2390.170525652255,0.0,1.0,261068.1551227896,193595.15677532
8,131,0.6085427118083689,1422.7042795415553,1259.8991619666374,1181.1491062708349,1139.0418867427327,0.0,1.0,267539.84237092524,192872.18559728074
9,385,0.5866431879291905,143.2028640412493,143.2028640412493,2883.2522869956438,7663.843904740396,0.009038058747489251,0.9909619412525108,262043.88816320006,199731.5449273521
10,229,0.5862362082846722,954.0260398755918,710.2417050533327,1192.1651729937553,11472.995990098105,0.00016393815917155986,0.9998360618408284,262462.2891982511,196513.44974449126
