iteration,selected_this_iteration,cand_id,cand_node,score,demand_total_pop,demand_underserved_pop,park_dist_m,area_m2,flood_risk_0_1,flood_norm,demand_total_norm,demand_underserved_norm,park_dist_norm,size_norm,centroid_x,centroid_y
1,True,176,6944189446,0.8204593513040525,3849.7242077416854,2699.974667807928,1144.614174232953,2550.0167470569,0.0,1.0,0.37499900071875564,1.0,0.7153838588955956,0.39882679453057834,265955.0934207387,193949.1992726148
1,False,174,245564833,0.7491282801189346,4507.4760019105415,2581.7148779338686,937.489537898626,749.2434579974375,0.0,1.0,0.4399602326295942,0.9561996668768478,0.5859309611866412,0.09846231180222977,265811.8022567506,193828.35734214017
1,False,168,1360914072,0.728955747057737,3553.531781911261,2297.355281084451,972.4145283932056,3462.732112464846,0.0,1.0,0.3457462871037099,0.8508803095362526,0.6077590802457535,0.4738914753008905,265847.8879476747,193595.28532482716
1,False,169,6937795574,0.7285240847918233,3531.8512746930646,2342.338761110865,980.9520524116136,2339.9936657562516,0.0,1.0,0.34360506533916035,0.8675410140098008,0.6130950327572585,0.3777406470155523,265903.5965674955,193620.07435763758
1,False,167,475170101,0.6681631820491765,3126.322479458417,2116.5388949155767,1037.374291855225,970.1660800805179,0.0,1.0,0.3035540151598916,0.7839106492928563,0.6483589324095156,0.16180669404856068,265945.4763057687,193562.5916827519
1,False,175,13665793094,0.6394755269814258,4401.4635270353265,2096.8337975258005,856.8423519699456,524.6524566791522,0.0,1.0,0.42949017230157505,0.7766123966000728,0.535526469981216,0.011150174549887195,265729.028798266,193911.69191530562
1,False,171,248524725,0.6268117184148696,4062.0297818466524,1857.0050984585696,930.5872779311546,1544.3059766167457,0.005816435401034498,0.9941835645989655,0.3959668365462866,0.6877861191069049,0.5816170487069716,0.27580209005497724,265755.0508542861,193734.46120747464
1,False,166,7555773967,0.6192493330456462,2984.277970606847,1876.9104570738757,941.6937063382545,1390.4230163431914,0.0,1.0,0.2895253399620871,0.6951585433198576,0.588558566461409,0.25005814097226936,265878.04055911745,193515.21254200157
1,False,339,12382854921,0.6163397235584557,2650.0449170327406,1720.260196314147,1056.4986216564641,2820.4257331285658,0.022992143335778176,0.9770078566642219,0.25651563767320007,0.6371393838708873,0.6603116385352901,0.4235535448221178,266008.8283335661,197601.243353769
1,False,441,9658353970,0.615841668783849,3185.997827084927,2175.934330735744,857.4265584435113,883.3869632710997,0.39119417744760504,0.6088058225523949,0.30944770352515727,0.8059091652524113,0.5358915990271946,0.13883413744449277,267143.89098249126,198354.15096151715
1,False,172,248524725,0.613027201250115,4062.0297818466524,1857.0050984585696,930.5872779311546,2292.830516513161,0.24060516881466246,0.7593948311853376,0.3959668365462866,0.6877861191069049,0.5816170487069716,0.37274565182105707,265804.6539865801,193758.83311583218
1,False,327,9141301934,0.6094720098344991,3047.3509524988094,2073.266252361478,881.1592984628155,703.3495309233251,0.22487186074350124,0.7751281392564988,0.29575458728655746,0.7678835942726582,0.5507245615392597,0.0829702773601238,267122.17095800175,198319.11510569399
1,False,326,701673457,0.606556592719271,3437.3483356949946,1956.3077121836411,775.3078128202511,890.0088173883362,0.0013315257022750032,0.998668474297725,0.3342717159041097,0.7245652100032257,0.48456738301265695,0.1406649209494329,266928.1854898399,198210.92668237234
1,False,340,12382854921,0.6055088348422634,2650.0449170327406,1720.260196314147,1056.4986216564641,1651.435033743927,0.0,1.0,0.25651563767320007,0.6371393838708873,0.6603116385352901,0.2922525143244174,265940.1040551116,197602.32087350317
1,False,439,10733062604,0.5982882461738197,2637.5583831891495,1658.3948878495528,1083.1317957408673,3998.866674060291,0.2066569812289659,0.7933430187710341,0.2552824359883593,0.6142260916825492,0.6769573723380421,0.509211803889973,267245.3753951464,198542.89006699334
1,False,325,1070001809,0.5734116010578217,3570.89719098237,1729.9923429338182,717.0176804906589,1622.1399057573253,0.0011994701001048582,0.9988005298998951,0.3474613388540747,0.6407439164376957,0.4481360503066618,0.28786245902244534,266854.82574616856,198195.5307036735
1,False,173,10994556077,0.5408671970075634,3067.4097045156936,1392.6040299246508,981.719692847259,1822.7361240073537,0.011594489731698866,0.9884055102683011,0.2977356404028889,0.5157841095802898,0.6135748080295369,0.31646065544392044,265599.4829568948,193767.46051779424
1,False,355,841332806,0.5400735945112556,1505.0499678844644,1164.391688133486,1228.2055952331957,5039.354235182646,0.00021327956318096435,0.999786720436819,0.14343303860199882,0.4312602270001442,0.7676284970207473,0.5659580570315217,267296.49185511016,198092.77407368028
1,False,170,1360914227,0.5350903384742668,3887.3990430021954,1511.2656903235695,950.6336890875506,593.5211083125178,0.056141044805407415,0.9438589551945926,0.37871986280116654,0.5597332850350574,0.5941460556797191,0.04136603021218297,265775.19111443503,193692.89313609176
1,False,324,633733281,0.5287973825379082,1928.3534488059486,1413.4237057621401,1121.9288059812527,702.9969477098211,0.0,1.0,0.185239561726049,0.5234951729786707,0.7012055037382829,0.08284739128311353,267232.003065439,198037.73047443276
1,False,165,178731899,0.5268476021910415,2119.5921250309116,1157.0264861304818,922.6994223534357,11615.311392355125,0.0025593157258162716,0.9974406842741838,0.20412677740026786,0.4285323488126855,0.5766871389708973,0.7708725382307423,265900.72672965424,193415.20681739214
