iteration,selected_this_iteration,cand_id,cand_node,score,demand_total_pop,demand_underserved_pop,park_dist_m,area_m2,flood_risk_0_1,flood_norm,demand_total_norm,demand_underserved_norm,park_dist_norm,size_norm,centroid_x,centroid_y
1,True,186,1789119500,0.6756277064314324,20396.506931089785,0.0,351.68308981601706,675.7547293567739,0.0,1.0,1.0,0.0,0.14653462075667378,0.07316162903843311,263952.87703862094,192979.78602653157
1,False,49,6559010876,0.6746139185378496,19369.168774081805,0.0,204.26177169625376,1664.5797570616298,0.017513792459772377,0.9824862075402276,0.9492010320197785,0.0,0.08510907154010573,0.2941970949527712,264397.8463984699,192839.16482179431
1,False,50,363674369,0.6400171595303168,17904.058805479362,0.0,642.4194700645622,986.1490875781283,0.0,1.0,0.8767554853661843,0.0,0.2676747791935676,0.16581292618578597,263826.69522522064,192864.17687305738
1,False,48,11469150281,0.6389081338113223,17875.779944522958,0.0,523.7653406690171,1115.5317144856485,0.0,1.0,0.8753571756251879,0.0,0.21823555861209043,0.1960399342501284,264599.2881877641,192678.63496077264
1,False,182,29869666,0.6360705815136733,18109.80377858625,0.0,490.45566597140925,916.3034114845899,0.0,1.0,0.8869289927256186,0.0,0.2043565274880872,0.14780288268036876,264814.429267158,193079.73195522296
1,False,57,6536143306,0.6226222330772435,17209.103875729696,0.0,490.33415989102787,1166.122572397113,0.0002779274883240153,0.999722072511676,0.8423919284562892,0.0,0.20430589995459494,0.20691578651258677,264735.1296668489,192852.33786944955
1,False,35,122721136,0.6182051100219359,15340.836891289198,0.0,369.88173673393817,4154.573007188827,0.0,1.0,0.7500114069369657,0.0,0.15411739030580757,0.5185844501524822,264446.76119120605,192452.46015888383
1,False,51,6536143321,0.6065497190467162,16595.12635223,0.0,521.3731753987082,1247.1378661215938,0.031322663481792065,0.968677336518208,0.8120324753939472,0.0,0.2172388230827951,0.2233866570915462,264699.45622997486,192884.50617357614
1,False,64,5000508319,0.6005532190617348,15205.47727241711,0.0,594.3098925362838,2184.5197149793544,0.0,1.0,0.7433182563925294,0.0,0.24762912189011824,0.3608745245097218,265061.18385297037,193051.4543574296
1,False,154,9893329707,0.6004775515134013,13122.557016058952,464.40106853391853,846.2777294084905,3049.152643744606,0.0003096079085225236,0.9996903920914775,0.640323737317861,0.28697902604556325,0.352615720586871,0.44268432918337197,265527.1020432881,193300.87235176362
1,False,184,179815203,0.5886346963169292,14416.649028326596,322.1206372858422,711.9176402658809,1630.4759584893482,0.04305710621639688,0.9569428937836031,0.7043129294316841,0.19905610262547327,0.2966323501107837,0.2891196817328067,265451.9430429835,193212.4156383296
1,False,65,1448156063,0.5808841657825622,14277.540409781437,0.0,672.5427188042335,2185.301898245868,0.0,1.0,0.6974344014503726,0.0,0.2802261328350973,0.36096234515910763,265216.5442900508,193077.83189568596
1,False,197,246064312,0.5677781990799674,13733.977478874003,0.0,445.37508552239404,2851.984848366099,0.0,1.0,0.6705567509571595,0.0,0.18557295230099752,0.4262835224752524,265177.13419616595,193355.20164532997
1,False,62,244129654,0.5666409178726322,15681.00497233677,0.0,551.0951295659664,662.8006783861387,0.0,1.0,0.7668317570224291,0.0,0.22962297065248602,0.06841828197446001,265063.38146910514,192996.82455767796
1,False,199,33657330,0.5646146919155601,13075.29705629867,669.2703479384865,707.6274484557703,983.6568222872015,0.0,1.0,0.6379868658931676,0.4135790497186035,0.2948447701899043,0.16519251318750366,265510.6742366527,193745.42978190762
1,False,61,13650272442,0.5576372295850449,15926.865183744105,0.0,471.1656441596574,575.4042283618091,0.0436981401777468,0.9563018598222532,0.7789888495257057,0.0,0.19631901839985724,0.03377082672578938,264938.9981066232,192934.43299657645
1,False,196,249478810,0.5554272290152303,13729.502812618954,0.0,604.6339276530072,1707.509288644866,0.0,1.0,0.6703354913589815,0.0,0.251930803188753,0.30044268677909497,265344.24270250765,193352.95238908243
1,False,185,249478318,0.5545487689161885,14296.304661233718,0.0,660.4434101616687,1311.8433143312093,0.05012995090754191,0.9498700490924581,0.6983622406454759,0.0,0.2751847542340286,0.2357911053745266,265394.2677039216,193326.64636017074
1,False,200,251495129,0.5533481876207862,12531.393357553929,669.2703479384865,726.7056190608819,1021.4297388200514,0.0,1.0,0.6110923653936173,0.4135790497186035,0.3027940079420341,0.174431327719425,265506.23412890197,193809.15832130786
