iteration,selected_this_iteration,cand_id,cand_node,score,demand_total_pop,demand_underserved_pop,park_dist_m,area_m2,flood_risk_0_1,flood_norm,demand_total_norm,demand_underserved_norm,park_dist_norm,size_norm,centroid_x,centroid_y
1,True,176,6944189446,0.8176709154504307,3849.7242077416854,2699.974667807928,1144.614174232953,2550.0167470569,0.0,1.0,0.37499900071875564,1.0,0.7153838588955956,0.39882679453057834,265955.0934207387,193949.1992726148
1,False,168,1360914072,0.7876590450506588,3553.531781911261,2297.355281084451,972.4145283932056,3462.732112464846,0.0,1.0,0.3457462871037099,0.8508803095362526,0.6077590802457535,0.4738914753008905,265847.8879476747,193595.28532482716
1,False,169,6937795574,0.7807554798796252,3531.8512746930646,2342.338761110865,980.9520524116136,2339.9936657562516,0.0,1.0,0.34360506533916035,0.8675410140098008,0.6130950327572585,0.3777406470155523,265903.5965674955,193620.07435763758
1,False,174,245564833,0.7778633122248535,4507.4760019105415,2581.7148779338686,937.489537898626,749.2434579974375,0.0,1.0,0.4399602326295942,0.9561996668768478,0.5859309611866412,0.09846231180222977,265811.8022567506,193828.35734214017
1,False,171,248524725,0.7453966395236564,4062.0297818466524,1857.0050984585696,930.5872779311546,1544.3059766167457,0.005816435401034498,0.9941835645989655,0.3959668365462866,0.6877861191069049,0.5816170487069716,0.27580209005497724,265755.0508542861,193734.46120747464
1,False,167,475170101,0.7441362623137198,3126.322479458417,2116.5388949155767,1037.374291855225,970.1660800805179,0.0,1.0,0.3035540151598916,0.7839106492928563,0.6483589324095156,0.16180669404856068,265945.4763057687,193562.5916827519
1,False,175,13665793094,0.7355830497883574,4401.4635270353265,2096.8337975258005,856.8423519699456,524.6524566791522,0.0,1.0,0.42949017230157505,0.7766123966000728,0.535526469981216,0.011150174549887195,265729.028798266,193911.69191530562
1,False,166,7555773967,0.7315642532356595,2984.277970606847,1876.9104570738757,941.6937063382545,1390.4230163431914,0.0,1.0,0.2895253399620871,0.6951585433198576,0.588558566461409,0.25005814097226936,265878.04055911745,193515.21254200157
1,False,339,12382854921,0.7309386998994648,2650.0449170327406,1720.260196314147,1056.4986216564641,2820.4257331285658,0.022992143335778176,0.9770078566642219,0.25651563767320007,0.6371393838708873,0.6603116385352901,0.4235535448221178,266008.8283335661,197601.243353769
1,False,154,9893329707,0.7295151422898838,4439.56260380845,1215.3704706270728,846.2777294084905,3049.152643744606,0.0003096079085225236,0.9996903920914775,0.43325293354949396,0.4501414347023541,0.5289235808803066,0.44268432918337197,265527.1020432881,193300.87235176362
